THUMB_pos_X;THUMB_pos_Y;THUMB_pos_Z;MIDDLE_pos_X;MIDDLE_pos_Y;MIDDLE_pos_Z;Distance;MIDDLE_vel;MIDDLE_acc
717,57;111,53;16,74;766,28;184,4;11,98;87,79;2,13;70,16
717,6;111,48;16,72;766,28;184,41;12,02;87,81;2,85;187,08
717,68;111,44;16,71;766,34;184,4;11,97;87,83;4,36;281,12
717,79;111,43;16,74;766,35;184,46;11,99;87,83;4,7;168,94
717,9;111,37;16,77;766,37;184,48;11,94;87,85;6,3;180,59
718,01;111,26;16,78;766,4;184,54;11,9;87,94;8,87;297,23
718,23;111,19;16,87;766,47;184,61;11,87;87,99;11,67;215,92
718,42;111,1;16,88;766,47;184,76;11,9;88,08;12,95;236,07
718,71;110,93;16,94;766,46;184,87;11,85;88,16;13,89;423,37
719,06;110,79;17,13;766,47;185,02;11,82;88,24;16,03;671,23
719,37;110,68;17,11;766,54;185,17;11,76;88,33;20,57;449,98
719,58;110,21;16,94;766,71;185,36;11,83;88,85;29,79;1226
719,78;109,86;17,44;766,94;185,59;11,89;89,38;36,23;3462,24
719,83;109,76;19,08;767,25;185,83;11,93;89,92;55,49;4839,32
719,78;110,02;22,32;767,68;186,11;12,53;90,45;104,99;6237,29
719,9;110,94;26,68;767,96;186,6;13,75;90,56;185,06;6532,58
720,56;112,61;31,58;768,46;187,43;15,9;90,22;285,92;6564,66
721,47;114,83;37,04;769,24;188,76;18,89;89,87;351,28;6549,45
722,42;117,43;42,36;770,17;190,43;22,01;89,57;391,07;6184,55
723,67;120,19;47,82;771,28;192,55;25,42;89,47;426,84;6137,73
724,98;123,28;52,94;772,56;194,9;28,89;89,28;465,88;5791,91
726,35;126,69;57,44;773,74;197,7;32,79;88,86;536,83;5254,15
727,87;130,56;61,14;775,11;201,03;37,32;88,12;610,75;5175,89
729,75;134,95;64,14;776,7;204,86;42,23;87,01;661,41;4594,96
731,79;139,75;66,49;778,68;209,16;47,13;85,97;684,23;4396,96
733,83;144,95;68,78;781,15;213,68;51,7;85,18;675,9;4738,35
735,93;150,53;70,98;783,58;218,44;55,65;84,36;666,24;5386,21
738,09;156,6;73,12;786,12;223,44;59,29;83,45;664,19;5838,72
740,35;162,92;75,27;788,52;228,69;62,5;82,52;653,2;6140,09
742,69;169,59;77,07;790,89;234,1;65,15;81,4;639,59;6333,62
744,78;176,49;78,61;793,11;239,69;67,15;80,38;630,64;6587,09
747,11;183,54;79,61;795,26;245,43;68,53;79,2;632,19;6834,36
749,49;190,68;80,22;797,49;251,36;69,26;78,14;633,8;6399,39
751,92;197,95;80,58;799,77;257,26;69,26;77,05;635,05;5859,45
754,31;205,32;80,68;802,04;263,21;68,68;75,98;636,11;4844,83
756,64;212,66;80,54;804,37;269;67,54;74,97;628,91;3510,45
758,83;219,9;80,25;806,51;274,69;66,18;73,98;615,98;3824,46
760,87;226,97;79,6;808,38;280,25;64,55;72,96;601,43;3395,51
762,73;233,79;78,7;810,02;285,68;62,77;71,99;582,66;2894,95
764,43;240,27;77,22;811,28;291,01;61,14;70,9;565,25;2307,39
766,42;246,56;75,23;812,28;296,28;59,55;69,43;546,48;1474,07
767,51;252,59;73,4;812,88;301,24;57,64;68,36;542,27;1004,62
768,51;258,42;71,2;813,76;306,42;56;67,7;551,01;1477,15
769,29;264,02;68,65;814,78;311,55;54,23;67,36;545,24;2133,32
769,97;269,41;65,98;815,8;316,45;52,24;67,09;538,61;2238,61
770,41;274,48;63,27;816,74;321,23;49,95;67,16;533,24;2419,67
770,6;279,25;60,55;817,58;325,83;47,49;67,44;520,8;3442,59
770,69;283,79;57,9;818,34;330,18;44,86;67,77;499,05;3096,84
770,48;288,03;55,69;818,82;334,28;42,32;68,22;469,1;2972
770,1;292,08;53,54;819,02;338,1;39,87;68,54;441,42;3279
769,63;295,89;51,55;819,06;341,7;37,54;68,83;415,13;3025,47
769,11;299,48;49,64;818,91;345,17;35,53;69,04;389,2;2870,08
768,55;302,86;47,69;818,81;348,47;33,71;69,29;372,93;2122,63
767,94;305,9;45,44;818,57;351,63;31,81;69,57;350,87;1937,33
767,3;308,73;43,16;818,29;354,57;30,27;69,77;330,35;1931,3
766,54;311,32;40,96;817,96;357,38;28,61;70,13;317,86;1926,25
765,63;313,65;38,98;817,6;360,01;27,06;70,65;306,4;1863,13
764,73;315,84;37,03;817,11;362,42;25,24;71,09;292,89;1767,04
764;317,95;35,02;816,63;364,65;23,62;71,27;275,83;1530,05
763,28;319,96;33,37;816,05;366,74;21,96;71,44;270,38;1705,91
762,61;321,92;31,83;815,49;368,72;20,25;71,55;252,49;1644,02
762,13;323,82;30,47;815,02;370,54;18,81;71,52;228,04;1757,95
761,67;325,63;29,08;814,47;372,28;17,59;71,38;214,56;1878,64
761,34;327,41;27,87;813,92;373,94;16,44;71,13;200,58;1892,6
761,06;329,08;26,66;813,34;375,5;15,48;70,81;186,06;1911,51
760,81;330,67;25,47;812,78;376,99;14,62;70,46;174,06;1468,53
760,71;332,24;24,5;812,3;378,42;13,9;70,05;155,64;1305,08
760,58;333,78;23,63;811,91;379,74;13,46;69,65;148,38;1380,77
760,41;335,22;22,91;811,24;381;12,89;69,14;142,54;852,09
760,24;336,55;22,26;810,66;382,13;12,52;68,67;131,14;853,6
760,04;337,97;21,73;810,02;383,18;12,06;68,09;130,15;773,6
759,79;339,19;21,09;809,31;384,13;11,56;67,55;119,16;677,98
759,6;340,37;20,58;808,87;385,08;11,22;67,18;117,23;942,76
759,26;341,43;19,99;808,26;386,02;10,66;66,9;109,83;563,5
759,1;342,43;19,61;807,86;386,84;10,37;66,6;99,45;769,33
759,05;343,4;19,11;807,29;387,6;9,92;66,07;94,66;826,68
760,46;344,11;17,43;806,94;388,33;9,66;64,62;83,88;983,44
760,74;345,05;16,91;806,59;389,06;9,49;63,99;83,07;1101,89
761,07;346;16,5;806,21;389,78;9,3;63,3;79,88;421,94
761,39;346,97;16,14;805,84;390,45;9,25;62,55;71,26;545,64
761,65;347,88;15,88;805,6;391,07;9,27;61,96;61,65;368,89
761,96;348,76;15,61;805,34;391,58;9,3;61,27;58,81;461,47
762,22;349,59;15,07;805,03;392,09;9,12;60,62;62,47;466,25
762,43;350,28;14,85;804,66;392,55;8,93;60,05;60,91;550,7
762,51;350,9;14,56;804,33;393,04;8,82;59,65;57,82;776,05
762,54;351,42;14,33;804;393,5;8,82;59,32;54,22;803,2
762,56;351,87;14,05;803,6;393,84;8,78;58,95;62,07;1104,95
762,59;352,27;13,81;802,96;394,13;8,6;58,39;67,28;1141,03
762,57;352,67;13,51;802,36;394,32;8,6;57,82;67,82;1223,2
762,51;353,07;13,37;801,64;394,44;8,56;57,14;77,5;1436,68
762,47;353,45;13,28;800,82;394,5;8,53;56,37;84,24;1736,49
762,5;353,79;13,24;799,95;394,45;8,61;55,48;96,38;1836,99
762,49;354,08;13,17;798,9;394,35;8,51;54,49;107,68;1302,78
762,52;354,36;13,08;797,84;394,05;8,48;53,32;126,67;1054,62
762,6;354,61;13,01;796,47;393,63;8,39;51,87;142,71;755,7
762,71;354,87;12,89;795,17;393,06;8,28;50,33;128,99;1163,94
762,86;355,12;12,8;794,16;392,51;8,17;48,98;93,96;1721,16
762,85;355,26;12,72;793,54;392,14;8,06;48,21;77,44;1920,7
762,76;355,37;12,62;792,84;391,71;8;47,4;66,09;2564,9
762,68;355,46;12,58;792,41;391,46;8,04;46,91;41,3;1926,32
762,62;355,54;12,52;792,16;391,25;8,05;46,56;29,47;1312,56
762,56;355,57;12,47;791,96;391,08;8,07;46,31;20,16;857,37
762,54;355,64;12,43;791,92;390,94;7,99;46,14;26,21;940,18
762,44;355,69;12,42;792,15;390,79;7,67;46,23;23,48;203,89
762,45;355,75;12,4;792,13;390,75;7,61;46,13;6,31;399,06
762,41;355,78;12,42;792,11;390,71;7,58;46,11;6,2;451,19
762,34;355,77;12,47;792,04;390,67;7,57;46,09;7,55;606,83
762,28;355,76;12,47;791,97;390,67;7,56;46,09;10,5;514,12
762,21;355,75;12,48;791,84;390,63;7,61;46,02;11,06;449,93
762,21;355,73;12,54;791,79;390,61;7,69;45,99;11,04;570,89
762,22;355,67;12,63;791,83;390,55;7,82;46;13,82;1105,6
762,3;355,57;12,7;791,82;390,5;7,94;45,98;25,1;1832,01
762,46;355,53;12,92;791,96;390,5;8,3;45,98;51,87;2718,15
762,73;355,63;13,5;792,2;390,52;8,9;45,9;73,19;3475,22
763,18;355,68;14,18;792,61;390,62;9,6;45,91;109,52;3768,25
763,73;355,88;15,42;793,25;390,82;10,8;45,97;161,59;4231,69
764,66;356,17;16,86;794,23;391,09;12,36;45,98;208,41;4128,11
765,68;356,53;18,65;795,4;391,48;14,31;46,08;246,74;4342,82
767,04;357,08;20,47;796,83;391,91;16,47;46,02;275,14;4096,21
768,66;357,59;22,75;798,46;392,35;18,8;45,96;314,12;3693,19
770,56;358,22;25,2;800,6;392,93;21,4;46,06;358,38;3751,79
772,84;358,86;27,8;802,88;393,51;24,32;45,98;394,49;3888,64
775,33;359,66;30,68;805,59;394,15;27,38;46,01;426,06;3975,25
778,23;360,46;33,48;808,72;394,83;30,39;46,05;460,39;4121,36
781,5;361,29;36,51;811,9;395,56;33,94;45,88;498,85;3995,32
785,13;362,22;39,66;815,8;396,32;37,26;45,93;532,77;4108,19
789,14;363,16;42,8;820,02;397,09;40,67;45,92;566,12;3855,61
793,56;364,21;45,86;824,66;397,8;44,15;45,81;601,29;4099,43
798,23;365,28;49;829,72;398,57;47,62;45,85;628,81;4007,34
803,26;366,29;52,14;835,11;399,29;50,98;45,87;647,19;3077,03
808,61;367,3;55,15;840,75;399,97;54,26;45,83;670,63;3296,11
814,21;368,26;58,02;846,8;400,54;57,43;45,87;697,57;3119,61
820,07;369,24;60,84;853,19;401,02;60,48;45,9;710,68;3041,95
826,14;370,18;63,48;859,65;401,5;63,44;45,87;720,58;3070,24
832,71;370,92;65,87;866,38;401,9;66,21;45,75;735,21;3046,19
839,32;371,63;68,07;873,36;402,18;68,71;45,74;748,47;2929,99
845,34;372,98;70,29;880,55;402,38;71,01;45,88;761,63;2994,76
852,25;373,52;72,22;887,93;402,49;73,13;45,97;770,17;3059,45
859,31;373,98;73,98;895,44;402,53;74,95;46,06;778,27;2777,35
866,63;374,37;75,36;903,1;402,51;76,61;46,08;780,42;2727,4
874,08;374,74;76,47;910,76;402,38;77,93;45,95;784,35;2691,84
881,49;375,04;77,48;918,59;402,16;79,1;45,98;792,99;2571,76
888,93;375,34;78,17;926,48;401,82;80,02;45,98;794,64;2626,01
896,47;375,56;78,64;934,39;401,45;80,65;45,97;793,88;2560,6
903,98;375,7;78,9;942,3;400,94;81,05;45,94;791,86;2589,04
911,5;375,82;79,07;950,18;400,37;81,27;45,87;789,91;2728,46
919,01;375,84;78,91;958,05;399,74;81,22;45,82;782,71;2612,27
926,42;375,75;78,56;965,76;398,93;80,89;45,72;771,15;2745,83
933,66;375,55;78,16;973,36;398,12;80,4;45,73;755,94;2790,84
940,77;375,29;77,64;980,73;397,24;79,59;45,64;741,58;2672,13
947,68;374,94;76,87;987,98;396,25;78,71;45,62;728,09;2953,2
954,4;374,61;76,09;995,02;395,25;77,6;45,58;708,19;2822,67
960,9;374,18;75,17;1001,78;394,18;76,3;45,52;690,9;3069,57
967,15;373,72;73,99;1008,39;393,07;74,88;45,56;668,75;3122,09
973,11;373,22;72,57;1014,64;391,96;73,38;45,58;637,4;3459,14
978,87;372,68;71,1;1020,5;390,85;71,58;45,43;614,43;3539,82
984,22;372,08;69,4;1026,18;389,77;69,76;45,54;585,52;3865,88
989,23;371,42;67,52;1031,4;388,73;67,85;45,58;552,5;3667,95
993,95;370,82;65,59;1036,29;387,7;65,82;45,59;525,77;3797,06
998,42;370,21;63,58;1040,84;386,75;63,66;45,53;496,23;3712,66
1002,47;369,55;61,61;1044,99;385,89;61,38;45,55;466,54;3640,1
1006,18;368,98;59,58;1048,78;385,08;59,06;45,54;438,43;3412,57
1009,49;368,44;57,38;1052,35;384,34;56,88;45,71;407,7;3373,28
1012,62;367,96;55,43;1055,39;383,68;54,5;45,58;380,31;3337,35
1015,43;367,5;53,47;1058,27;383,08;52,27;45,59;355,73;3145,72
1017,96;367,11;51,39;1060,86;382,5;50,1;45,59;326,31;2960,75
1020,11;366,75;49,47;1063,06;382,06;47,96;45,63;296,33;2888,47
1022,07;366,46;47,67;1065,04;381,68;45,98;45,62;274,86;2718,8
1023,74;366,19;45,74;1066,72;381,39;43,91;45,63;251,8;2807,08
1025,28;365,96;44,1;1068,27;381,12;42,16;45,63;233,16;2397,29
1026,42;365,81;42,47;1069,55;380,9;40,24;45,74;217,67;2065,51
1027,4;365,63;40,7;1070,56;380,75;38,47;45,78;199,02;2041,07
1028,28;365,58;39,41;1071,34;380,63;36,69;45,7;188,8;1869,24
1028,98;365,57;37,82;1072,02;380,6;34,99;45,68;179,98;1813,36
1029,45;365,51;36,27;1072,61;380,57;33,32;45,8;178,51;1352,55
1029,84;365,47;34,82;1072,99;380,58;31,56;45,83;177,41;1029,24
1030,09;365,42;33,24;1073,22;380,61;29,83;45,86;166,89;961,15
1030,27;365,38;31,68;1073,39;380,7;28,25;45,89;157,39;1118,55
1030,46;365,4;30,19;1073,53;380,79;26,7;45,87;144,21;1240,96
1030,71;365,45;28,9;1073,74;380,91;25,39;45,85;128,27;1474,09
1030,92;365,53;27,69;1073,92;381,04;24,18;45,85;123,42;1629,05
1031,07;365,61;26,45;1074,05;381,2;22,96;45,85;105,22;1078,3
1031,32;365,78;25,62;1074,31;381,36;22,14;45,85;90,67;1306,68
1031,36;365,89;24,75;1074,43;381,58;21,23;45,97;84,71;1039,87
1031,55;366,14;24,12;1074,69;381,77;20,54;46,02;69,39;988,81
1031,75;366,36;23,58;1074,85;381,95;19,96;45,98;68,93;824,68
1031,77;366,56;22,92;1074,96;382,14;19,24;46,05;59,71;561,26
1031,92;366,78;22,61;1075,12;382,34;18,86;46,07;48,31;918,63
1032,07;366,95;22,23;1075,23;382,56;18,41;46,06;48,52;558,32
1032,17;367,12;21,9;1075,35;382,74;18,01;46,08;41,14;784,59
1032,31;367,27;21,62;1075,44;382,9;17,69;46,04;32,55;708,34
1032,47;367,39;21,15;1075,59;383,04;17,48;46,02;27,47;413,78
1032,52;367,55;20,84;1075,76;383,15;17,33;46,11;22,57;685,85
1032,56;367,66;20,68;1075,79;383,25;17,14;46,09;18,42;741,66
1032,49;367,76;20,49;1075,77;383,35;17,02;46,13;22,92;901,17
1032,36;367,84;20,31;1075,59;383,46;16,78;46,1;30,39;1013,76
1032,15;367,89;20,13;1075,4;383,55;16,57;46,14;38,83;667,29
1031,83;367,93;19,86;1075,03;383,65;16,28;46,11;42,77;315,51
1031,53;367,94;19,61;1074,74;383,67;16,05;46,12;39,93;281,14
1031,11;367,94;19,43;1074,39;383,64;15,79;46,19;39,6;266,11
1030,77;367,87;19,24;1074,07;383,65;15,62;46,23;31,59;273,35
1030,5;367,86;19,16;1073,82;383,66;15,53;46,25;27,58;519,41
1030,25;367,79;19;1073,58;383,66;15,37;46,28;33,62;415,07
1029,96;367,71;18,72;1073,28;383,62;15,12;46,29;35,49;644,52
1029,7;367,6;18,34;1073,09;383,58;14,87;46,37;25,17;613,25
1029,54;367,51;18,21;1073,03;383,57;14,69;46,5;11,23;555,42
1029,5;367,54;18,18;1073,02;383,6;14,66;46,52;1,99;723,35
1029,48;367,53;18,12;1073,02;383,59;14,66;46,53;2,59;574,83
1029,44;367,51;18,1;1073,06;383,6;14,63;46,62;4,67;213,62
1029,41;367,47;18,05;1073,11;383,59;14,64;46,71;3,43;152,2
1029,32;367,44;18,07;1073,13;383,62;14,64;46,83;4,8;255,94
1029,21;367,39;18,07;1073,18;383,62;14,69;46,99;7,39;493,76
1029,09;367,35;18,1;1073,27;383,63;14,69;47,21;11,71;849,74
1028,97;367,32;18,11;1073,41;383,64;14,75;47,46;22,66;1575,82
1028,76;367,19;18,07;1073,67;383,64;14,89;47,93;40,31;1927,82
1028,62;367,09;18,06;1074,17;383,69;15,02;48,57;60,06;2068,51
1028,35;366,97;18,09;1074,79;383,78;15,3;49,48;83,66;2113,84
1027,93;366,78;18,22;1075,62;383,97;15,8;50,75;112,54;1933,29
1027,47;366,59;18,37;1076,65;384,18;16,51;52,26;125,95;1694,13
1026,95;366,38;18,61;1077,64;384,31;17,27;53,79;129,89;1917,66
1026,57;366,25;19,24;1078,61;384,42;18,2;55,13;139,51;1941,49
1026,22;366,08;20,19;1079,54;384,37;19,31;56,38;148,5;2246,31
1025,79;365,87;21,13;1080,38;384,31;20,58;57,63;157,13;2616,74
1025,47;365,68;22,54;1080,97;384,2;22,1;58,5;173,49;2753,03
1025,17;365,44;24,19;1081,46;383,97;23,86;59,26;188;2991,81
1024,76;365,14;26,2;1081,69;383,71;25,76;59,89;207,13;3103,23
1024,33;364,85;28,49;1081,86;383,33;27,94;60,43;237,1;3588,16
1023,71;364,45;30,9;1081,85;382,94;30,44;61,01;266,05;3558,47
1023,01;364,05;33,96;1081,69;382,49;33,19;61,52;303,16;3968
1022,11;363,55;37,16;1081,41;381,98;36,41;62,11;341,33;4034,97
1020,91;362,98;40,55;1080,9;381,49;39,89;62,79;383,63;4138,96
1019,49;362,23;44,31;1080,22;381,39;43,96;63,68;413,47;4300,3
1017,94;361,49;48,37;1079,03;380,73;47,91;64,06;437,73;4517,2
1016,08;360,58;52,8;1077,46;379,93;52,14;64,36;471,31;4624,73
1014,08;359,43;57,36;1075,25;378,53;56,26;64,1;503,06;4449,48
1011,73;358,1;62,07;1072,91;377,56;60,8;64,21;542,52;4269,69
1009,09;356,62;66,87;1070,28;376,44;65,68;64,33;580,34;3862,04
1006,16;354,93;72,02;1067,23;375,24;70,65;64,37;615,04;3619,91
